name,pageid,ns,title,contentmodel,pagelanguage,pagelanguagehtmlcode,pagelanguagedir,touched,lastrevid,length,talkid,fullurl,editurl,canonicalurl,watchers,missing,redirect,new,revision_id,article_quality,url,country,Geography,Population
Abang Muhammad Salahuddin,2545676.0,0.0,Abang Muhammad Salahuddin,wikitext,en,en,ltr,2024-10-11T00:18:09Z,1249027291,10505.0,7028699.0,https://en.wikipedia.org/wiki/Abang_Muhammad_Salahuddin,https://en.wikipedia.org/w/index.php?title=Abang_Muhammad_Salahuddin&action=edit,https://en.wikipedia.org/wiki/Abang_Muhammad_Salahuddin,,,,,1249027291,C,https://en.wikipedia.org/wiki/Abang_Muhammad_Salahuddin,Malaysia,Malaysia,33.4
Abas Ermenji,20380987.0,0.0,Abas Ermenji,wikitext,en,en,ltr,2024-10-05T14:30:10Z,1240801210,6047.0,21281320.0,https://en.wikipedia.org/wiki/Abas_Ermenji,https://en.wikipedia.org/w/index.php?title=Abas_Ermenji&action=edit,https://en.wikipedia.org/wiki/Abas_Ermenji,,,,,1240801210,Start,https://en.wikipedia.org/wiki/Abas_Ermenji,Albania,Albania,2.7
Abass Sheikh Mohamed,75363633.0,0.0,Abass Sheikh Mohamed,wikitext,en,en,ltr,2024-09-27T02:42:27Z,1246061978,3030.0,75554758.0,https://en.wikipedia.org/wiki/Abass_Sheikh_Mohamed,https://en.wikipedia.org/w/index.php?title=Abass_Sheikh_Mohamed&action=edit,https://en.wikipedia.org/wiki/Abass_Sheikh_Mohamed,,,,,1246061978,Start,https://en.wikipedia.org/wiki/Abass_Sheikh_Mohamed,Kenya,Kenya,55.1
Abba Bina,33743139.0,0.0,Abba Bina,wikitext,en,en,ltr,2024-09-27T01:23:45Z,1214592995,3854.0,38054209.0,https://en.wikipedia.org/wiki/Abba_Bina,https://en.wikipedia.org/w/index.php?title=Abba_Bina&action=edit,https://en.wikipedia.org/wiki/Abba_Bina,,,,,1214592995,Start,https://en.wikipedia.org/wiki/Abba_Bina,Papua New Guinea,Papua New Guinea,9.5
Abba Kyari,47665540.0,0.0,Abba Kyari,wikitext,en,en,ltr,2024-09-29T15:51:42Z,1248451106,17180.0,47687769.0,https://en.wikipedia.org/wiki/Abba_Kyari,https://en.wikipedia.org/w/index.php?title=Abba_Kyari&action=edit,https://en.wikipedia.org/wiki/Abba_Kyari,,,,,1248451106,C,https://en.wikipedia.org/wiki/Abba_Kyari,Nigeria,Nigeria,223.8
Abbas Ali Akhtari,70067086.0,0.0,Abbas Ali Akhtari,wikitext,en,en,ltr,2024-10-11T00:30:10Z,1228962136,11239.0,70077524.0,https://en.wikipedia.org/wiki/Abbas_Ali_Akhtari,https://en.wikipedia.org/w/index.php?title=Abbas_Ali_Akhtari&action=edit,https://en.wikipedia.org/wiki/Abbas_Ali_Akhtari,,,,,1228962136,C,https://en.wikipedia.org/wiki/Abbas_Ali_Akhtari,Iran,Iran,89.2
Abbas Gueye,31875078.0,0.0,Abbas Gueye,wikitext,en,en,ltr,2024-09-27T01:19:00Z,1187261448,1636.0,32741636.0,https://en.wikipedia.org/wiki/Abbas_Gueye,https://en.wikipedia.org/w/index.php?title=Abbas_Gueye&action=edit,https://en.wikipedia.org/wiki/Abbas_Gueye,,,,,1187261448,Stub,https://en.wikipedia.org/wiki/Abbas_Gueye,Senegal,Senegal,18.3
Abbas Mahdi,43739029.0,0.0,Abbas Mahdi,wikitext,en,en,ltr,2024-10-11T11:15:09Z,1033783405,1573.0,43739038.0,https://en.wikipedia.org/wiki/Abbas_Mahdi,https://en.wikipedia.org/w/index.php?title=Abbas_Mahdi&action=edit,https://en.wikipedia.org/wiki/Abbas_Mahdi,,,,,1033783405,Stub,https://en.wikipedia.org/wiki/Abbas_Mahdi,Iraq,Iraq,45.5
Abbas Zaki,22712306.0,0.0,Abbas Zaki,wikitext,en,en,ltr,2024-10-11T00:22:41Z,1250385725,3764.0,22712311.0,https://en.wikipedia.org/wiki/Abbas_Zaki,https://en.wikipedia.org/w/index.php?title=Abbas_Zaki&action=edit,https://en.wikipedia.org/wiki/Abbas_Zaki,,,,,1250385725,Start,https://en.wikipedia.org/wiki/Abbas_Zaki,Palestinian Territory,Palestinian Territory,5.5
Abbo Nassour,48987907.0,0.0,Abbo Nassour,wikitext,en,en,ltr,2024-09-13T10:20:35Z,1144389013,11794.0,48989518.0,https://en.wikipedia.org/wiki/Abbo_Nassour,https://en.wikipedia.org/w/index.php?title=Abbo_Nassour&action=edit,https://en.wikipedia.org/wiki/Abbo_Nassour,,,,,1144389013,C,https://en.wikipedia.org/wiki/Abbo_Nassour,Chad,Chad,18.3
Abd Al-Rahman Ali Al-Jifri,2118164.0,0.0,Abd Al-Rahman Ali Al-Jifri,wikitext,en,en,ltr,2024-09-26T23:34:28Z,1144463695,10519.0,2520299.0,https://en.wikipedia.org/wiki/Abd_Al-Rahman_Ali_Al-Jifri,https://en.wikipedia.org/w/index.php?title=Abd_Al-Rahman_Ali_Al-Jifri&action=edit,https://en.wikipedia.org/wiki/Abd_Al-Rahman_Ali_Al-Jifri,,,,,1144463695,Start,https://en.wikipedia.org/wiki/Abd_Al-Rahman_Ali_Al-Jifri,Yemen,Yemen,34.4
Abd al-Aziz al-Badri,53991073.0,0.0,Abd al-Aziz al-Badri,wikitext,en,en,ltr,2024-10-11T00:27:48Z,1244698603,4564.0,54767758.0,https://en.wikipedia.org/wiki/Abd_al-Aziz_al-Badri,https://en.wikipedia.org/w/index.php?title=Abd_al-Aziz_al-Badri&action=edit,https://en.wikipedia.org/wiki/Abd_al-Aziz_al-Badri,,,,,1244698603,Start,https://en.wikipedia.org/wiki/Abd_al-Aziz_al-Badri,Iraq,Iraq,45.5
Abd al-Ilah,391056.0,0.0,Abd al-Ilah,wikitext,en,en,ltr,2024-10-11T16:51:05Z,1250573208,15293.0,2365528.0,https://en.wikipedia.org/wiki/Abd_al-Ilah,https://en.wikipedia.org/w/index.php?title=Abd_al-Ilah&action=edit,https://en.wikipedia.org/wiki/Abd_al-Ilah,46.0,,,,1250573208,C,https://en.wikipedia.org/wiki/Abd_al-Ilah,Iraq,Iraq,45.5
Abd al-Mawla Naqi,69679591.0,0.0,Abd al-Mawla Naqi,wikitext,en,en,ltr,2024-10-11T00:30:07Z,1193082133,2491.0,69679595.0,https://en.wikipedia.org/wiki/Abd_al-Mawla_Naqi,https://en.wikipedia.org/w/index.php?title=Abd_al-Mawla_Naqi&action=edit,https://en.wikipedia.org/wiki/Abd_al-Mawla_Naqi,,,,,1193082133,Stub,https://en.wikipedia.org/wiki/Abd_al-Mawla_Naqi,Libya,Libya,6.9
Abd al-Razzaq al-Dandashi,20616807.0,0.0,Abd al-Razzaq al-Dandashi,wikitext,en,en,ltr,2024-10-11T00:22:17Z,1063356756,3107.0,20616949.0,https://en.wikipedia.org/wiki/Abd_al-Razzaq_al-Dandashi,https://en.wikipedia.org/w/index.php?title=Abd_al-Razzaq_al-Dandashi&action=edit,https://en.wikipedia.org/wiki/Abd_al-Razzaq_al-Dandashi,,,,,1063356756,Start,https://en.wikipedia.org/wiki/Abd_al-Razzaq_al-Dandashi,Syria,Syria,23.2
Abd al-Sattar Qasim,66580471.0,0.0,Abd al-Sattar Qasim,wikitext,en,en,ltr,2024-10-11T00:29:44Z,1189278545,4498.0,66588237.0,https://en.wikipedia.org/wiki/Abd_al-Sattar_Qasim,https://en.wikipedia.org/w/index.php?title=Abd_al-Sattar_Qasim&action=edit,https://en.wikipedia.org/wiki/Abd_al-Sattar_Qasim,,,,,1189278545,Start,https://en.wikipedia.org/wiki/Abd_al-Sattar_Qasim,Palestinian Territory,Palestinian Territory,5.5
Abd-Allah ibn Aamir Hadhrami,5734026.0,0.0,Abd-Allah ibn Aamir Hadhrami,wikitext,en,en,ltr,2024-09-30T05:11:42Z,1171600163,509.0,10875464.0,https://en.wikipedia.org/wiki/Abd-Allah_ibn_Aamir_Hadhrami,https://en.wikipedia.org/w/index.php?title=Abd-Allah_ibn_Aamir_Hadhrami&action=edit,https://en.wikipedia.org/wiki/Abd-Allah_ibn_Aamir_Hadhrami,,,,,1171600163,Stub,https://en.wikipedia.org/wiki/Abd-Allah_ibn_Aamir_Hadhrami,Iraq,Iraq,45.5
Abd-Rabbo al-Barassi,40967843.0,0.0,Abd-Rabbo al-Barassi,wikitext,en,en,ltr,2024-10-11T00:26:02Z,1245381256,918.0,41070115.0,https://en.wikipedia.org/wiki/Abd-Rabbo_al-Barassi,https://en.wikipedia.org/w/index.php?title=Abd-Rabbo_al-Barassi&action=edit,https://en.wikipedia.org/wiki/Abd-Rabbo_al-Barassi,,,,,1245381256,Stub,https://en.wikipedia.org/wiki/Abd-Rabbo_al-Barassi,Libya,Libya,6.9
Abdallah Barkat Ibrahim,73021761.0,0.0,Abdallah Barkat Ibrahim,wikitext,en,en,ltr,2024-09-27T02:38:45Z,1242619513,1815.0,73090992.0,https://en.wikipedia.org/wiki/Abdallah_Barkat_Ibrahim,https://en.wikipedia.org/w/index.php?title=Abdallah_Barkat_Ibrahim&action=edit,https://en.wikipedia.org/wiki/Abdallah_Barkat_Ibrahim,,,,,1242619513,Stub,https://en.wikipedia.org/wiki/Abdallah_Barkat_Ibrahim,Djibouti,Djibouti,1.1
Abdallah Said Sarouma,52785681.0,0.0,Abdallah Said Sarouma,wikitext,en,en,ltr,2024-08-18T00:27:15Z,1043132737,1502.0,52898462.0,https://en.wikipedia.org/wiki/Abdallah_Said_Sarouma,https://en.wikipedia.org/w/index.php?title=Abdallah_Said_Sarouma&action=edit,https://en.wikipedia.org/wiki/Abdallah_Said_Sarouma,,,,,1043132737,Stub,https://en.wikipedia.org/wiki/Abdallah_Said_Sarouma,Comoros,Comoros,0.9
Abdallah Ulega,59097597.0,0.0,Abdallah Ulega,wikitext,en,en,ltr,2024-10-10T15:12:12Z,1237192582,2603.0,59097686.0,https://en.wikipedia.org/wiki/Abdallah_Ulega,https://en.wikipedia.org/w/index.php?title=Abdallah_Ulega&action=edit,https://en.wikipedia.org/wiki/Abdallah_Ulega,,,,,1237192582,Stub,https://en.wikipedia.org/wiki/Abdallah_Ulega,Tanzania,Tanzania,67.4
Abdallahi ibn Muhammad,1474421.0,0.0,Abdallahi ibn Muhammad,wikitext,en,en,ltr,2024-10-11T00:17:32Z,1193384074,9482.0,5828253.0,https://en.wikipedia.org/wiki/Abdallahi_ibn_Muhammad,https://en.wikipedia.org/w/index.php?title=Abdallahi_ibn_Muhammad&action=edit,https://en.wikipedia.org/wiki/Abdallahi_ibn_Muhammad,,,,,1193384074,GA,https://en.wikipedia.org/wiki/Abdallahi_ibn_Muhammad,Sudan,Sudan,48.1
Abdel Fattah al-Maghrabi,74088774.0,0.0,Abdel Fattah al-Maghrabi,wikitext,en,en,ltr,2024-10-11T00:30:39Z,1215349032,6185.0,74089261.0,https://en.wikipedia.org/wiki/Abdel_Fattah_al-Maghrabi,https://en.wikipedia.org/w/index.php?title=Abdel_Fattah_al-Maghrabi&action=edit,https://en.wikipedia.org/wiki/Abdel_Fattah_al-Maghrabi,,,,,1215349032,Start,https://en.wikipedia.org/wiki/Abdel_Fattah_al-Maghrabi,Sudan,Sudan,48.1
Abdel Hafiz Nofal,49413394.0,0.0,Abdel Hafiz Nofal,wikitext,en,en,ltr,2024-10-11T00:27:17Z,1197647604,9971.0,49504485.0,https://en.wikipedia.org/wiki/Abdel_Hafiz_Nofal,https://en.wikipedia.org/w/index.php?title=Abdel_Hafiz_Nofal&action=edit,https://en.wikipedia.org/wiki/Abdel_Hafiz_Nofal,,,,,1197647604,C,https://en.wikipedia.org/wiki/Abdel_Hafiz_Nofal,Palestinian Territory,Palestinian Territory,5.5
Abdel Halim Mohamed,37736968.0,0.0,Abdel Halim Mohamed,wikitext,en,en,ltr,2024-10-11T00:25:21Z,1249045451,29284.0,43627344.0,https://en.wikipedia.org/wiki/Abdel_Halim_Mohamed,https://en.wikipedia.org/w/index.php?title=Abdel_Halim_Mohamed&action=edit,https://en.wikipedia.org/wiki/Abdel_Halim_Mohamed,,,,,1249045451,GA,https://en.wikipedia.org/wiki/Abdel_Halim_Mohamed,Sudan,Sudan,48.1
Abdel Wahab Qaid,37016089.0,0.0,Abdel Wahab Qaid,wikitext,en,en,ltr,2024-10-11T00:25:13Z,1243356338,7429.0,37019443.0,https://en.wikipedia.org/wiki/Abdel_Wahab_Qaid,https://en.wikipedia.org/w/index.php?title=Abdel_Wahab_Qaid&action=edit,https://en.wikipedia.org/wiki/Abdel_Wahab_Qaid,,,,,1243356338,Start,https://en.wikipedia.org/wiki/Abdel_Wahab_Qaid,Libya,Libya,6.9
Abdelaziz El Omari,62030598.0,0.0,Abdelaziz El Omari,wikitext,en,en,ltr,2024-10-11T00:29:03Z,1168135452,8225.0,62030692.0,https://en.wikipedia.org/wiki/Abdelaziz_El_Omari,https://en.wikipedia.org/w/index.php?title=Abdelaziz_El_Omari&action=edit,https://en.wikipedia.org/wiki/Abdelaziz_El_Omari,,,,,1168135452,Start,https://en.wikipedia.org/wiki/Abdelaziz_El_Omari,Morocco,Morocco,37.0
Abdelfattah al-Banna,32482524.0,0.0,Abdelfattah al-Banna,wikitext,en,en,ltr,2024-09-28T03:16:54Z,1221423218,2578.0,32482994.0,https://en.wikipedia.org/wiki/Abdelfattah_al-Banna,https://en.wikipedia.org/w/index.php?title=Abdelfattah_al-Banna&action=edit,https://en.wikipedia.org/wiki/Abdelfattah_al-Banna,,,,,1221423218,Stub,https://en.wikipedia.org/wiki/Abdelfattah_al-Banna,Egypt,Egypt,105.2
Abdelghani Bousta,30370167.0,0.0,Abdelghani Bousta,wikitext,en,en,ltr,2024-10-05T14:32:27Z,1243833677,12774.0,31933209.0,https://en.wikipedia.org/wiki/Abdelghani_Bousta,https://en.wikipedia.org/w/index.php?title=Abdelghani_Bousta&action=edit,https://en.wikipedia.org/wiki/Abdelghani_Bousta,,,,,1243833677,B,https://en.wikipedia.org/wiki/Abdelghani_Bousta,Morocco,Morocco,37.0
Abdelhadi Boutaleb,33415142.0,0.0,Abdelhadi Boutaleb,wikitext,en,en,ltr,2024-10-11T00:24:30Z,1245185566,3034.0,33415152.0,https://en.wikipedia.org/wiki/Abdelhadi_Boutaleb,https://en.wikipedia.org/w/index.php?title=Abdelhadi_Boutaleb&action=edit,https://en.wikipedia.org/wiki/Abdelhadi_Boutaleb,,,,,1245185566,Stub,https://en.wikipedia.org/wiki/Abdelhadi_Boutaleb,Morocco,Morocco,37.0
Abdelhafid Kadiri,75546666.0,0.0,Abdelhafid Kadiri,wikitext,en,en,ltr,2024-10-05T14:43:42Z,1243832532,2522.0,75546667.0,https://en.wikipedia.org/wiki/Abdelhafid_Kadiri,https://en.wikipedia.org/w/index.php?title=Abdelhafid_Kadiri&action=edit,https://en.wikipedia.org/wiki/Abdelhafid_Kadiri,,,,,1243832532,Stub,https://en.wikipedia.org/wiki/Abdelhafid_Kadiri,Morocco,Morocco,37.0
Abdelhak Saihi,71993130.0,0.0,Abdelhak Saihi,wikitext,en,en,ltr,2024-09-27T02:37:18Z,1218004839,2018.0,71995504.0,https://en.wikipedia.org/wiki/Abdelhak_Saihi,https://en.wikipedia.org/w/index.php?title=Abdelhak_Saihi&action=edit,https://en.wikipedia.org/wiki/Abdelhak_Saihi,,,,,1218004839,Stub,https://en.wikipedia.org/wiki/Abdelhak_Saihi,Algeria,Algeria,46.8
Abdelhakim Belabed,71926293.0,0.0,Abdelhakim Belabed,wikitext,en,en,ltr,2024-10-05T14:43:05Z,1218173615,3100.0,71926591.0,https://en.wikipedia.org/wiki/Abdelhakim_Belabed,https://en.wikipedia.org/w/index.php?title=Abdelhakim_Belabed&action=edit,https://en.wikipedia.org/wiki/Abdelhakim_Belabed,,,,,1218173615,Start,https://en.wikipedia.org/wiki/Abdelhakim_Belabed,Algeria,Algeria,46.8
Abdelkader Zoukh,76780000.0,0.0,Abdelkader Zoukh,wikitext,en,en,ltr,2024-10-09T12:29:17Z,1250270534,9501.0,76818135.0,https://en.wikipedia.org/wiki/Abdelkader_Zoukh,https://en.wikipedia.org/w/index.php?title=Abdelkader_Zoukh&action=edit,https://en.wikipedia.org/wiki/Abdelkader_Zoukh,,,,,1250270534,Start,https://en.wikipedia.org/wiki/Abdelkader_Zoukh,Algeria,Algeria,46.8
Abdelkrim Benmbarek,76446110.0,0.0,Abdelkrim Benmbarek,wikitext,en,en,ltr,2024-10-11T00:30:56Z,1245801726,3034.0,76453375.0,https://en.wikipedia.org/wiki/Abdelkrim_Benmbarek,https://en.wikipedia.org/w/index.php?title=Abdelkrim_Benmbarek&action=edit,https://en.wikipedia.org/wiki/Abdelkrim_Benmbarek,,,,,1245801726,Stub,https://en.wikipedia.org/wiki/Abdelkrim_Benmbarek,Algeria,Algeria,46.8
Abdelkrim Motii,3876710.0,0.0,Abdelkrim Motii,wikitext,en,en,ltr,2024-10-11T00:18:36Z,1245329075,1616.0,6281084.0,https://en.wikipedia.org/wiki/Abdelkrim_Motii,https://en.wikipedia.org/w/index.php?title=Abdelkrim_Motii&action=edit,https://en.wikipedia.org/wiki/Abdelkrim_Motii,,,,,1245329075,Stub,https://en.wikipedia.org/wiki/Abdelkrim_Motii,Morocco,Morocco,37.0
Abdellah Kadiri,61878230.0,0.0,Abdellah Kadiri,wikitext,en,en,ltr,2024-10-11T00:29:01Z,1246403569,4924.0,61880696.0,https://en.wikipedia.org/wiki/Abdellah_Kadiri,https://en.wikipedia.org/w/index.php?title=Abdellah_Kadiri&action=edit,https://en.wikipedia.org/wiki/Abdellah_Kadiri,,,,,1246403569,Start,https://en.wikipedia.org/wiki/Abdellah_Kadiri,Morocco,Morocco,37.0
Abdellatif Jouahri,67282145.0,0.0,Abdellatif Jouahri,wikitext,en,en,ltr,2024-10-11T00:29:48Z,1246185063,5850.0,67282680.0,https://en.wikipedia.org/wiki/Abdellatif_Jouahri,https://en.wikipedia.org/w/index.php?title=Abdellatif_Jouahri&action=edit,https://en.wikipedia.org/wiki/Abdellatif_Jouahri,,,,,1246185063,Start,https://en.wikipedia.org/wiki/Abdellatif_Jouahri,Morocco,Morocco,37.0
Abdellatif Ouahbi,68624641.0,0.0,Abdellatif Ouahbi,wikitext,en,en,ltr,2024-10-11T00:29:59Z,1244051321,7274.0,68639477.0,https://en.wikipedia.org/wiki/Abdellatif_Ouahbi,https://en.wikipedia.org/w/index.php?title=Abdellatif_Ouahbi&action=edit,https://en.wikipedia.org/wiki/Abdellatif_Ouahbi,,,,,1244051321,Start,https://en.wikipedia.org/wiki/Abdellatif_Ouahbi,Morocco,Morocco,37.0
Abdellatif Zeroual,30259172.0,0.0,Abdellatif Zeroual,wikitext,en,en,ltr,2024-09-27T01:15:16Z,1244051612,2510.0,33289750.0,https://en.wikipedia.org/wiki/Abdellatif_Zeroual,https://en.wikipedia.org/w/index.php?title=Abdellatif_Zeroual&action=edit,https://en.wikipedia.org/wiki/Abdellatif_Zeroual,,,,,1244051612,Stub,https://en.wikipedia.org/wiki/Abdellatif_Zeroual,Morocco,Morocco,37.0
Abdelouahed Belkeziz,32056168.0,0.0,Abdelouahed Belkeziz,wikitext,en,en,ltr,2024-10-11T00:24:16Z,1244051993,6852.0,32056246.0,https://en.wikipedia.org/wiki/Abdelouahed_Belkeziz,https://en.wikipedia.org/w/index.php?title=Abdelouahed_Belkeziz&action=edit,https://en.wikipedia.org/wiki/Abdelouahed_Belkeziz,,,,,1244051993,Start,https://en.wikipedia.org/wiki/Abdelouahed_Belkeziz,Morocco,Morocco,37.0
Abdelrahman al-Dajani,39368015.0,0.0,Abdelrahman al-Dajani,wikitext,en,en,ltr,2024-10-11T00:25:41Z,1244326603,958.0,44970794.0,https://en.wikipedia.org/wiki/Abdelrahman_al-Dajani,https://en.wikipedia.org/w/index.php?title=Abdelrahman_al-Dajani&action=edit,https://en.wikipedia.org/wiki/Abdelrahman_al-Dajani,,,,,1244326603,Stub,https://en.wikipedia.org/wiki/Abdelrahman_al-Dajani,Palestinian Territory,Palestinian Territory,5.5
Abdelwahed Radi,33865760.0,0.0,Abdelwahed Radi,wikitext,en,en,ltr,2024-10-11T00:24:35Z,1244843050,4470.0,33865770.0,https://en.wikipedia.org/wiki/Abdelwahed_Radi,https://en.wikipedia.org/w/index.php?title=Abdelwahed_Radi&action=edit,https://en.wikipedia.org/wiki/Abdelwahed_Radi,,,,,1244843050,Stub,https://en.wikipedia.org/wiki/Abdelwahed_Radi,Morocco,Morocco,37.0
Abderezak Sebgag,71935892.0,0.0,Abderezak Sebgag,wikitext,en,en,ltr,2024-09-27T02:37:12Z,1212579707,2504.0,71996826.0,https://en.wikipedia.org/wiki/Abderezak_Sebgag,https://en.wikipedia.org/w/index.php?title=Abderezak_Sebgag&action=edit,https://en.wikipedia.org/wiki/Abderezak_Sebgag,,,,,1212579707,Stub,https://en.wikipedia.org/wiki/Abderezak_Sebgag,Algeria,Algeria,46.8
Abderrachid Tabbi,71879294.0,0.0,Abderrachid Tabbi,wikitext,en,en,ltr,2024-09-27T02:37:05Z,1218530483,2752.0,71919666.0,https://en.wikipedia.org/wiki/Abderrachid_Tabbi,https://en.wikipedia.org/w/index.php?title=Abderrachid_Tabbi&action=edit,https://en.wikipedia.org/wiki/Abderrachid_Tabbi,,,,,1218530483,Stub,https://en.wikipedia.org/wiki/Abderrachid_Tabbi,Algeria,Algeria,46.8
Abderrahim Bouabid,63589798.0,0.0,Abderrahim Bouabid,wikitext,en,en,ltr,2024-10-11T00:29:19Z,1246010673,4301.0,63590252.0,https://en.wikipedia.org/wiki/Abderrahim_Bouabid,https://en.wikipedia.org/w/index.php?title=Abderrahim_Bouabid&action=edit,https://en.wikipedia.org/wiki/Abderrahim_Bouabid,,,,,1246010673,Start,https://en.wikipedia.org/wiki/Abderrahim_Bouabid,Morocco,Morocco,37.0
Abderrahmane Amalou,69329929.0,0.0,Abderrahmane Amalou,wikitext,en,en,ltr,2024-10-11T00:30:04Z,1249089950,2534.0,69332424.0,https://en.wikipedia.org/wiki/Abderrahmane_Amalou,https://en.wikipedia.org/w/index.php?title=Abderrahmane_Amalou&action=edit,https://en.wikipedia.org/wiki/Abderrahmane_Amalou,,,,,1249089950,Stub,https://en.wikipedia.org/wiki/Abderrahmane_Amalou,Morocco,Morocco,37.0
